wave,var_name,question,options,n_options,pct_answered
W26,SATISF,"All in all, are you satisfied or dissatisfied with the way things are going in this country today?",Satisfied | Dissatisfied,2,100.0
W26,SATISFY,"All in all, are you satisfied or dissatisfied with the way things are going in YOUR Local Community today?",Satisfied | Dissatisfied,2,100.0
W26,POL1DT,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Approve | Disapprove,2,100.0
W26,POL1DTSTR,"Do you [approve/disapprove] of the way Donald Trump is handling his job as President very strongly, or not so strongly?",Very strongly | Not so strongly,2,99.1
W26,SAFECRIME,"How safe, if at all, would you say YOUR Local Community is from crime? Would you say it is...",Very safe | Somewhat safe | Not too safe | Not at all safe,4,100.0
W26,WORLDDANGER,"Compared to 50 years ago, do you think...",We live in a safer world | We live in a more dangerous world | The world we live in is neither safer nor more dangerous,3,100.0
W26,WORRYA,"How much, if at all, do you worry about the following things happening to you? Having your home broken into",Worry a lot | Worry a little | Do not worry at all,3,49.7
W26,WORRYB,"How much, if at all, do you worry about the following things happening to you? Being the victim of a terrorist attack",Worry a lot | Worry a little | Do not worry at all,3,49.7
W26,WORRYC,"How much, if at all, do you worry about the following things happening to you? Losing your job",Worry a lot | Worry a little | Do not worry at all,3,31.7
W26,WORRYD,"How much, if at all, do you worry about the following things happening to you? Not being able to pay your bills",Worry a lot | Worry a little | Do not worry at all,3,50.3
W26,WORRYE,"How much, if at all, do you worry about the following things happening to you? Being the victim of a violent crime",Worry a lot | Worry a little | Do not worry at all,3,50.3
W26,WORRYF,"How much, if at all, do you worry about the following things happening to you? Being the victim of a mass shooting",Worry a lot | Worry a little | Do not worry at all,3,50.3
W26,WORRYG,"How much, if at all, do you worry about the following things happening to you? Having a personal health crisis",Worry a lot | Worry a little | Do not worry at all,3,100.0
W26,DESCRIBEA,"How well, if at all, do each of the following phrases describe you? A religious person",Extremely well | Very well | Somewhat well | Not too well | Not at all well,5,100.0
W26,DESCRIBEB,"How well, if at all, do each of the following phrases describe you? A patriotic person",Extremely well | Very well | Somewhat well | Not too well | Not at all well,5,100.0
W26,DESCRIBEC,"How well, if at all, do each of the following phrases describe you? A supporter of the environment",Extremely well | Very well | Somewhat well | Not too well | Not at all well,5,100.0
W26,DESCRIBED,"How well, if at all, do each of the following phrases describe you? A supporter of women's rights",Extremely well | Very well | Somewhat well | Not too well | Not at all well,5,100.0
W26,EVEROWN,"Have you ever owned a gun at any point in your life, or have you never owned a gun?","Yes, have owned a gun | No, have never owned a gun",2,68.1
W26,COULDOWN,Which best describes you?,I could see myself owning a gun again/at some point | I could never see myself owning a gun again,2,66.8
W26,NEVEROWN,Which best describes you?,I could never see myself NOT owning a gun | I could see myself not owning a gun at some point in the future,2,31.9
W26,GUNTYPEOWNA,Do you currently or have you ever owned any of the following? A rifle,"Yes, I currently own | Yes, I have owned in the past but do not currently own | No, I have never owned",3,42.5
W26,GUNTYPEOWNB,Do you currently or have you ever owned any of the following? A handgun or pistol,"Yes, I currently own | Yes, I have owned in the past but do not currently own | No, I have never owned",3,42.5
W26,GUNTYPEOWNC,Do you currently or have you ever owned any of the following? A shotgun,"Yes, I currently own | Yes, I have owned in the past but do not currently own | No, I have never owned",3,42.5
W26,REASONGUNA,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For protection",Major reason | Minor reason | Not a reason,3,31.9
W26,REASONGUNB,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Major reason | Minor reason | Not a reason,3,31.9
W26,REASONGUNC,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Major reason | Minor reason | Not a reason,3,31.9
W26,REASONGUND,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Major reason | Minor reason | Not a reason,3,31.9
W26,REASONGUNE,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For my job",Major reason | Minor reason | Not a reason,3,31.9
W26,IMPREASONGUN,Which of the following is the MOST Important reason why you own a gun?,"For protection | For hunting | For sport shooting, including target shooting and trap and skeet | As part of a gun collection | For my job",5,12.8
W26,GUNIDENTITY,"How important, if at all, is being a gun owner to your overall identity?",Very important | Somewhat important | Not too important | Not at all important,4,31.9
W26,GUNFRIEND,"As far as you know, how many of your friends, if any, own guns?",All or most | Some | Only a few | None,4,100.0
W26,GUNSOCIETY,Do you feel that Society IN General tends to look at most gun owners in a positive way or a negative way?,Positive way | Negative way,2,100.0
W26,GUNCOMMUNITY,Do you feel that People IN YOUR Community tend to look at most gun owners in a positive way or a negative way?,Positive way | Negative way,2,100.0
W26,KNOWGUN,Which of the following best describes you?,"I'd rather other people not know that I own a gun/guns | I don't mind if other people know I own a gun/guns, but I don't go out of my way to tell them | I want other people to know I own a gun/guns",3,31.9
W26,TRUSTFEDGOV,"Generally speaking, how much of the time do you think you can trust the federal government to do what is right?",Just about always | Most of the time | Only some of the time | Never,4,49.7
W26,SOCTRUST,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?",Most people can be trusted | Can't be too careful,2,50.3
W26,GUNSAFE,Does having a gun in your household make you feel...,Safer than you would feel without a gun in your household | Less safe than you would feel without a gun in your household | No more or less safe,3,43.3
W26,GUNSAFE2,Would having a gun in your household make you feel...,Safer than you feel without a gun in your household | Less safe than you feel without a gun in your household | No more or less safe,3,55.2
W26,GUNCONTRIBA,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The ease with which people can Legally obtain guns",A great deal | A fair amount | Not too much | Not at all,4,100.0
W26,GUNCONTRIBB,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The ease with which people can Illegally obtain guns",A great deal | A fair amount | Not too much | Not at all,4,100.0
W26,GUNCONTRIBC,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The amount of gun violence in movies and television",A great deal | A fair amount | Not too much | Not at all,4,49.7
W26,GUNCONTRIBD,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? Lack of economic opportunities",A great deal | A fair amount | Not too much | Not at all,4,49.7
W26,GUNCONTRIBE,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The amount of gun violence in video games",A great deal | A fair amount | Not too much | Not at all,4,50.3
W26,GUNCONTRIBF,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? Family instability",A great deal | A fair amount | Not too much | Not at all,4,50.3
W26,GROWUPCOM,How would you describe the community where you spent the majority of time when you were growing up?,A city | A suburb | A small town | A rural area,4,100.0
W26,GROWUPVIOL,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,A very big problem | A moderately big problem | A small problem | Not a problem at all,4,100.0
W26,GROWUPGUN1,"Thinking about when you were growing up, as far as you know, were there ever any guns in your household or not?","Yes, there were guns in my household | No, there were no guns in my household | I am not sure if there were guns in my household",3,100.0
W26,GROWUPGUN2A,Would you say each of the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"Yes, was a reason | No, was not a reason",2,51.6
W26,GROWUPGUN2B,Would you say each of the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"Yes, was a reason | No, was not a reason",2,51.6
W26,GROWUPGUN2C,"Would you say each of the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","Yes, was a reason | No, was not a reason",2,51.6
W26,GROWUPGUN4,"Thinking about the people in the community where you spent the majority of time when you were growing up...As far as you know, how many people owned guns?",All or most | Some | Only a few | None,4,100.0
W26,GROWUPGUN5,"How often, if ever, did you go hunting when you were growing up?",Often | Sometimes | Hardly ever | Never,4,100.0
W26,GROWUPGUN6,"How often, if ever, did you go shooting or to a gun range when you were growing up?",Often | Sometimes | Hardly ever | Never,4,76.7
W26,GROWUPGUN7,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",Often | Sometimes | Hardly ever | Never,4,100.0
W26,GUNRESPNOKIDSA,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns in a locked place,Essential | Important but not essential | Not important | Should not be done,4,49.7
