wave,var_name,question,n_options,option_labels,dist_overall,dist_rep,dist_dem,n_overall,n_rep,n_dem,partisan_gap,error
W26,SATISF,"All in all, are you satisfied or dissatisfied with the way things are going in this country today?",2,"[""Satisfied"", ""Dissatisfied""]","[0.2609, 0.7391]","[0.4498, 0.5502]","[0.1073, 0.8927]",4168,1869,2213,0.3425,
W26,SATISFY,"All in all, are you satisfied or dissatisfied with the way things are going in YOUR Local Community today?",2,"[""Satisfied"", ""Dissatisfied""]","[0.6906, 0.3094]","[0.7114, 0.2886]","[0.6832, 0.3168]",4168,1869,2213,0.0282,
W26,POL1DT,Do you approve or disapprove of the way Donald Trump is handling his job as President?,2,"[""Approve"", ""Disapprove""]","[0.3944, 0.6056]","[0.8111, 0.1889]","[0.0516, 0.9484]",4168,1869,2213,0.7595,
W26,POL1DTSTR,"Do you [approve/disapprove] of the way Donald Trump is handling his job as President very strongly, or not so strongly?",2,"[""Very strongly"", ""Not so strongly""]","[0.7684, 0.2316]","[0.6467, 0.3533]","[0.8732, 0.1268]",4130,1848,2208,0.2265,
W26,SAFECRIME,"How safe, if at all, would you say YOUR Local Community is from crime? Would you say it is...",4,"[""Very safe"", ""Somewhat safe"", ""Not too safe"", ""Not at all safe""]","[0.2811, 0.5738, 0.1188, 0.0262]","[0.3039, 0.5686, 0.1072, 0.0204]","[0.266, 0.5782, 0.1269, 0.029]",4168,1869,2213,0.0249,
W26,WORLDDANGER,"Compared to 50 years ago, do you think...",3,"[""We live in a safer world"", ""We live in a more dangerous world"", ""The world we live in is neither safer nor more dangerous""]","[0.0969, 0.7044, 0.1987]","[0.0526, 0.8175, 0.1299]","[0.1363, 0.6057, 0.258]",4168,1869,2213,0.1059,
W26,WORRYA,"How much, if at all, do you worry about the following things happening to you? Having your home broken into",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.1171, 0.5893, 0.2937]","[0.1094, 0.6223, 0.2682]","[0.1201, 0.5665, 0.3135]",2070,934,1092,0.0279,
W26,WORRYB,"How much, if at all, do you worry about the following things happening to you? Being the victim of a terrorist attack",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.0862, 0.445, 0.4688]","[0.0925, 0.5086, 0.3989]","[0.0779, 0.3951, 0.527]",2070,934,1092,0.0713,
W26,WORRYC,"How much, if at all, do you worry about the following things happening to you? Losing your job",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.1544, 0.4091, 0.4365]","[0.1308, 0.3855, 0.4836]","[0.1739, 0.4292, 0.3969]",1323,584,718,0.0649,
W26,WORRYD,"How much, if at all, do you worry about the following things happening to you? Not being able to pay your bills",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.2295, 0.4245, 0.346]","[0.1772, 0.4415, 0.3813]","[0.2679, 0.414, 0.3181]",2098,935,1121,0.077,
W26,WORRYE,"How much, if at all, do you worry about the following things happening to you? Being the victim of a violent crime",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.0745, 0.5222, 0.4033]","[0.0578, 0.5294, 0.4128]","[0.0867, 0.5165, 0.3968]",2098,935,1121,0.0225,
W26,WORRYF,"How much, if at all, do you worry about the following things happening to you? Being the victim of a mass shooting",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.0612, 0.3365, 0.6023]","[0.031, 0.3169, 0.652]","[0.0859, 0.3527, 0.5613]",2098,935,1121,0.0728,
