pew_id,pew_label,in_online_quiz,question_text,response_options,ideo_direction,direction_label,rationale,source
pew_01,DIFFPARTY,no,"Thinking about the Democratic and Republican parties, would you say there is ...","1 A great deal of difference in what they stand for | 2 A fair amount of difference in what they stand for | 3 Hardly any difference at all in what they stand for",0,ambiguous,"Not an ideological content item; measures perception of partisan polarization.",Pew 2021 Typology Appendix B p.133
pew_02,GOVSIZE1,yes,"If you had to choose, would you rather have ...","1 A smaller government, providing fewer services | 2 A bigger government, providing more services",-1,left,"Endorsing bigger government is the standard left position; option 1 is right-coded, option 2 is left-coded.",Pew 2021 Typology Appendix B p.133
pew_03,GOVSIZE3,yes,"[ASK IF GOVSIZE1=2] When you say you favor a bigger government providing more services, do you think it would be better to ...","1 Modestly expand on current government services | 2 Greatly expand on current government services",-1,left,"Conditional refinement among left-leaning respondents; both options are left but option 2 is further-left.",Pew 2021 Typology Appendix B p.133
pew_04,USEXCEPT,yes,"Which of these statements best describes your opinion about the United States?","1 The U.S. stands above all other countries in the world | 2 The U.S. is one of the greatest countries in the world, along with some others | 3 There are other countries that are better than the U.S.",1,right,"American exceptionalism (option 1) is a right-coded position; option 3 is left-coded.",Pew 2021 Typology Appendix B p.133
pew_05,WOMENOBS,no,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 The obstacles that once made it harder for women than men to get ahead are now largely gone | 2 There are still significant obstacles that make it harder for women to get ahead than men",1,right,"Denying ongoing gender obstacles (option 1) is right-coded; affirming them (option 2) is left-coded.",Pew 2021 Typology Appendix B p.133
pew_06,ECONFAIR,no,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 The economic system in this country unfairly favors powerful interests | 2 The economic system in this country is generally fair to most Americans",-1,left,"System-critique framing (option 1) is left-coded; system-defense (option 2) is right-coded.",Pew 2021 Typology Appendix B p.133
pew_07,OPENIDEN,yes,"Please choose the statement that comes closer to your views — even if neither is exactly right.","1 America's openness to people from all over the world is essential to who we are as a nation | 2 If America is too open to people from all over the world, we risk losing our identity as a nation",-1,left,"Pro-immigration/openness (option 1) is left-coded; nativist (option 2) is right-coded.",Pew 2021 Typology Appendix B p.133
pew_08,ALLIES,no,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises with them | 2 In foreign policy, the U.S. should follow its own national interests even when its allies strongly disagree",-1,left,"Multilateralism (option 1) is left-coded; nationalism (option 2) is right-coded.",Pew 2021 Typology Appendix B p.133
pew_09,POLICY3MOD,yes,"In general, would you say experts who study a subject for many years are ...","1 Usually BETTER at making good policy decisions about that subject than other people | 2 Usually WORSE at making good policy decisions about that subject than other people | 3 NEITHER BETTER NOR WORSE at making good policy decisions about that subject than other people",-1,left,"Pro-expert (option 1) maps left in the 2021 US political landscape; anti-expert (option 2) maps right.",Pew 2021 Typology Appendix B p.133
pew_10,WHADVANT,yes,"In general, how much do White people benefit from advantages in society that Black people do not have?","1 A great deal | 2 A fair amount | 3 Not too much | 4 Not at all",-1,left,"Endorsing systemic white advantage (options 1-2) is left-coded; denying it (options 3-4) is right-coded.",Pew 2021 Typology Appendix B p.133
pew_11,SUPERPWR,yes,"In the future, do you think ...","1 U.S. policies should try to keep it so America is the only military superpower | 2 It would be acceptable if another country became as militarily powerful as the U.S.",1,right,"Unipolarity preference (option 1) is right-coded; multipolarity acceptance (option 2) is left-coded.",Pew 2021 Typology Appendix B p.133
pew_12,CRIM_SENT2,yes,"Overall, would you say people who are convicted of crimes in this country serve ...","1 Too much time in prison | 2 Too little time in prison | 3 About the right amount of time in prison",-1,left,"Criminal-justice-reform view (option 1) is left-coded; tough-on-crime view (option 2) is right-coded.",Pew 2021 Typology Appendix B p.133
pew_13,CANMTCHPOL,yes,"Which comes closer to your view of candidates for political office, even if neither is exactly right? I usually feel like ...","1 There is at least one candidate who shares most of my views | 2 None of the candidates represent my views well",0,ambiguous,"Political satisfaction/alienation; not a clear left/right content item.",Pew 2021 Typology Appendix B p.133
pew_14,PROG_RNEED,yes,"How much more, if anything, needs to be done to ensure equal rights for all Americans regardless of their racial or ethnic backgrounds?","1 A lot | 2 A little | 3 Nothing at all",-1,left,"Endorsing ongoing racial-equality work (option 1) is left-coded; denying need (option 3) is right-coded.",Pew 2021 Typology Appendix B p.134
